,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1,-4.57e-06,-9.15e-06,-9.19e-06,-9.25e-06,-9.33e-06,-9.42e-06,-9.52e-06,-9.62e-06,-9.71e-06,-9.78e-06,-9.83e-06,-9.83e-06,-9.78e-06,-9.66e-06,-9.45e-06,-9.15e-06,-8.73e-06,-8.2e-06,-7.55e-06,-6.77e-06,-5.86e-06,-4.85e-06,-3.73e-06,-2.53e-06,-1.28e-06,-0.0,1.28e-06,2.53e-06,3.73e-06,4.85e-06,5.86e-06,6.77e-06,7.55e-06,8.2e-06,8.73e-06,9.15e-06,9.45e-06,9.66e-06,9.78e-06,9.83e-06,9.83e-06,9.78e-06,9.71e-06,9.62e-06,9.52e-06,9.42e-06,9.33e-06,9.25e-06,9.19e-06,9.15e-06,4.57e-06
2,-9.15e-06,-1.833e-05,-1.841e-05,-1.853e-05,-1.869e-05,-1.888e-05,-1.909e-05,-1.93e-05,-1.95e-05,-1.966e-05,-1.976e-05,-1.978e-05,-1.969e-05,-1.946e-05,-1.906e-05,-1.847e-05,-1.765e-05,-1.659e-05,-1.528e-05,-1.371e-05,-1.189e-05,-9.83e-06,-7.57e-06,-5.14e-06,-2.6e-06,-0.0,2.6e-06,5.14e-06,7.57e-06,9.83e-06,1.189e-05,1.371e-05,1.528e-05,1.659e-05,1.765e-05,1.847e-05,1.906e-05,1.946e-05,1.969e-05,1.978e-05,1.976e-05,1.966e-05,1.95e-05,1.93e-05,1.909e-05,1.888e-05,1.869e-05,1.853e-05,1.841e-05,1.833e-05,9.15e-06
3,-1.376e-05,-2.756e-05,-2.768e-05,-2.787e-05,-2.812e-05,-2.843e-05,-2.876e-05,-2.911e-05,-2.944e-05,-2.972e-05,-2.991e-05,-2.998e-05,-2.988e-05,-2.958e-05,-2.901e-05,-2.814e-05,-2.694e-05,-2.536e-05,-2.339e-05,-2.101e-05,-1.824e-05,-1.51e-05,-1.164e-05,-7.91e-06,-4e-06,-0.0,4e-06,7.91e-06,1.164e-05,1.51e-05,1.824e-05,2.101e-05,2.339e-05,2.536e-05,2.694e-05,2.814e-05,2.901e-05,2.958e-05,2.988e-05,2.998e-05,2.991e-05,2.972e-05,2.944e-05,2.911e-05,2.876e-05,2.843e-05,2.812e-05,2.787e-05,2.768e-05,2.756e-05,1.376e-05
4,-1.84e-05,-3.686e-05,-3.703e-05,-3.73e-05,-3.767e-05,-3.811e-05,-3.86e-05,-3.911e-05,-3.961e-05,-4.004e-05,-4.037e-05,-4.054e-05,-4.049e-05,-4.015e-05,-3.947e-05,-3.837e-05,-3.681e-05,-3.472e-05,-3.209e-05,-2.888e-05,-2.512e-05,-2.083e-05,-1.607e-05,-1.094e-05,-5.54e-06,-0.0,5.54e-06,1.094e-05,1.607e-05,2.083e-05,2.512e-05,2.888e-05,3.209e-05,3.472e-05,3.681e-05,3.837e-05,3.947e-05,4.015e-05,4.049e-05,4.054e-05,4.037e-05,4.004e-05,3.961e-05,3.911e-05,3.86e-05,3.811e-05,3.767e-05,3.73e-05,3.703e-05,3.686e-05,1.84e-05
5,-2.308e-05,-4.625e-05,-4.648e-05,-4.685e-05,-4.735e-05,-4.796e-05,-4.864e-05,-4.937e-05,-5.008e-05,-5.074e-05,-5.127e-05,-5.16e-05,-5.167e-05,-5.137e-05,-5.064e-05,-4.937e-05,-4.749e-05,-4.492e-05,-4.162e-05,-3.756e-05,-3.274e-05,-2.72e-05,-2.102e-05,-1.432e-05,-7.26e-06,-0.0,7.26e-06,1.432e-05,2.102e-05,2.72e-05,3.274e-05,3.756e-05,4.162e-05,4.492e-05,4.749e-05,4.937e-05,5.064e-05,5.137e-05,5.167e-05,5.16e-05,5.127e-05,5.074e-05,5.008e-05,4.937e-05,4.864e-05,4.796e-05,4.735e-05,4.685e-05,4.648e-05,4.625e-05,2.308e-05
6,-2.782e-05,-5.574e-05,-5.604e-05,-5.654e-05,-5.72e-05,-5.801e-05,-5.894e-05,-5.993e-05,-6.093e-05,-6.188e-05,-6.27e-05,-6.329e-05,-6.357e-05,-6.342e-05,-6.273e-05,-6.137e-05,-5.924e-05,-5.624e-05,-5.229e-05,-4.733e-05,-4.138e-05,-3.446e-05,-2.669e-05,-1.821e-05,-9.24e-06,-0.0,9.24e-06,1.821e-05,2.669e-05,3.446e-05,4.138e-05,4.733e-05,5.229e-05,5.624e-05,5.924e-05,6.137e-05,6.273e-05,6.342e-05,6.357e-05,6.329e-05,6.27e-05,6.188e-05,6.093e-05,5.993e-05,5.894e-05,5.801e-05,5.72e-05,5.654e-05,5.604e-05,5.574e-05,2.782e-05
7,-3.26e-05,-6.534e-05,-6.573e-05,-6.637e-05,-6.723e-05,-6.83e-05,-6.952e-05,-7.085e-05,-7.223e-05,-7.357e-05,-7.478e-05,-7.576e-05,-7.637e-05,-7.65e-05,-7.597e-05,-7.465e-05,-7.237e-05,-6.9e-05,-6.442e-05,-5.855e-05,-5.137e-05,-4.293e-05,-3.333e-05,-2.279e-05,-1.157e-05,-0.0,1.157e-05,2.279e-05,3.333e-05,4.293e-05,5.137e-05,5.855e-05,6.442e-05,6.9e-05,7.237e-05,7.465e-05,7.597e-05,7.65e-05,7.637e-05,7.576e-05,7.478e-05,7.357e-05,7.223e-05,7.085e-05,6.952e-05,6.83e-05,6.723e-05,6.637e-05,6.573e-05,6.534e-05,3.26e-05
8,-3.743e-05,-7.504e-05,-7.553e-05,-7.635e-05,-7.746e-05,-7.883e-05,-8.043e-05,-8.218e-05,-8.403e-05,-8.588e-05,-8.763e-05,-8.914e-05,-9.026e-05,-9.083e-05,-9.065e-05,-8.953e-05,-8.725e-05,-8.362e-05,-7.847e-05,-7.167e-05,-6.316e-05,-5.298e-05,-4.128e-05,-2.829e-05,-1.439e-05,-0.0,1.439e-05,2.829e-05,4.128e-05,5.298e-05,6.316e-05,7.167e-05,7.847e-05,8.362e-05,8.725e-05,8.953e-05,9.065e-05,9.083e-05,9.026e-05,8.914e-05,8.763e-05,8.588e-05,8.403e-05,8.218e-05,8.043e-05,7.883e-05,7.746e-05,7.635e-05,7.553e-05,7.504e-05,3.743e-05
9,-4.231e-05,-8.483e-05,-8.545e-05,-8.648e-05,-8.788e-05,-8.962e-05,-9.167e-05,-9.395e-05,-9.64e-05,-9.89e-05,-0.00010135,-0.00010358,-0.00010542,-0.00010667,-0.00010707,-0.00010638,-0.00010431,-0.00010059,-9.497e-05,-8.725e-05,-7.731e-05,-6.517e-05,-5.097e-05,-3.504e-05,-1.785e-05,-0.0,1.785e-05,3.504e-05,5.097e-05,6.517e-05,7.731e-05,8.725e-05,9.497e-05,0.00010059,0.00010431,0.00010638,0.00010707,0.00010667,0.00010542,0.00010358,0.00010135,9.89e-05,9.64e-05,9.395e-05,9.167e-05,8.962e-05,8.788e-05,8.648e-05,8.545e-05,8.483e-05,4.231e-05
10,-4.722e-05,-9.47e-05,-9.547e-05,-9.673e-05,-9.848e-05,-0.00010067,-0.00010326,-0.00010618,-0.00010937,-0.0001127,-0.00011605,-0.00011924,-0.00012206,-0.00012428,-0.00012558,-0.00012564,-0.00012409,-0.00012054,-0.00011463,-0.00010606,-9.46e-05,-8.021e-05,-6.305e-05,-4.351e-05,-2.222e-05,-0.0,2.222e-05,4.351e-05,6.305e-05,8.021e-05,9.46e-05,0.00010606,0.00011463,0.00012054,0.00012409,0.00012564,0.00012558,0.00012428,0.00012206,0.00011924,0.00011605,0.0001127,0.00010937,0.00010618,0.00010326,0.00010067,9.848e-05,9.673e-05,9.547e-05,9.47e-05,4.722e-05
11,-5.214e-05,-0.0001046,-0.00010553,-0.00010709,-0.00010923,-0.00011195,-0.00011518,-0.00011888,-0.00012296,-0.00012732,-0.00013181,-0.00013624,-0.00014039,-0.00014395,-0.00014656,-0.00014781,-0.0001472,-0.00014423,-0.00013835,-0.00012908,-0.00011606,-9.913e-05,-7.84e-05,-5.436e-05,-2.784e-05,-0.0,2.784e-05,5.436e-05,7.84e-05,9.913e-05,0.00011606,0.00012908,0.00013835,0.00014423,0.0001472,0.00014781,0.00014656,0.00014395,0.00014039,0.00013624,0.00013181,0.00012732,0.00012296,0.00011888,0.00011518,0.00011195,0.00010923,0.00010709,0.00010553,0.0001046,5.214e-05
12,-5.705e-05,-0.00011448,-0.00011561,-0.00011749,-0.0001201,-0.00012342,-0.00012741,-0.00013203,-0.00013719,-0.0001428,-0.00014871,-0.00015472,-0.00016059,-0.00016597,-0.00017044,-0.00017346,-0.00017443,-0.00017263,-0.00016729,-0.00015767,-0.00014315,-0.00012335,-9.83e-05,-6.856e-05,-3.525e-05,-0.0,3.525e-05,6.856e-05,9.83e-05,0.00012335,0.00014315,0.00015767,0.00016729,0.00017263,0.00017443,0.00017346,0.00017044,0.00016597,0.00016059,0.00015472,0.00014871,0.0001428,0.00013719,0.00013203,0.00012741,0.00012342,0.0001201,0.00011749,0.00011561,0.00011448,5.705e-05
13,-6.192e-05,-0.00012429,-0.00012564,-0.00012788,-0.00013102,-0.00013503,-0.00013989,-0.00014557,-0.00015201,-0.00015912,-0.00016677,-0.00017477,-0.00018285,-0.00019064,-0.00019766,-0.00020327,-0.00020667,-0.00020693,-0.00020295,-0.00019361,-0.00017786,-0.00015495,-0.00012467,-8.76e-05,-4.525e-05,-0.0,4.525e-05,8.76e-05,0.00012467,0.00015495,0.00017786,0.00019361,0.00020295,0.00020693,0.00020667,0.00020327,0.00019766,0.00019064,0.00018285,0.00017477,0.00016677,0.00015912,0.00015201,0.00014557,0.00013989,0.00013503,0.00013102,0.00012788,0.00012564,0.00012429,6.192e-05
14,-6.671e-05,-0.00013394,-0.00013553,-0.00013818,-0.0001419,-0.00014668,-0.00015254,-0.00015944,-0.00016736,-0.00017624,-0.00018599,-0.00019642,-0.00020728,-0.00021821,-0.00022867,-0.00023792,-0.00024498,-0.00024861,-0.0002473,-0.00023936,-0.00022307,-0.000197,-0.00016042,-0.00011381,-5.916e-05,-0.0,5.916e-05,0.00011381,0.00016042,0.000197,0.00022307,0.00023936,0.0002473,0.00024861,0.00024498,0.00023792,0.00022867,0.00021821,0.00020728,0.00019642,0.00018599,0.00017624,0.00016736,0.00015944,0.00015254,0.00014668,0.0001419,0.00013818,0.00013553,0.00013394,6.671e-05
15,-7.137e-05,-0.00014335,-0.0001452,-0.00014829,-0.00015264,-0.00015828,-0.00016523,-0.0001735,-0.00018311,-0.00019405,-0.00020626,-0.00021962,-0.00023394,-0.00024887,-0.00026387,-0.00027813,-0.00029051,-0.00029943,-0.00030283,-0.00029823,-0.00028285,-0.00025408,-0.00021013,-0.00015096,-7.913e-05,-0.0,7.913e-05,0.00015096,0.00021013,0.00025408,0.00028285,0.00029823,0.00030283,0.00029943,0.00029051,0.00027813,0.00026387,0.00024887,0.00023394,0.00021962,0.00020626,0.00019405,0.00018311,0.0001735,0.00016523,0.00015828,0.00015264,0.00014829,0.0001452,0.00014335,7.137e-05
16,-7.585e-05,-0.00015241,-0.00015453,-0.00015809,-0.00016312,-0.00016968,-0.00017782,-0.0001876,-0.00019909,-0.00021235,-0.00022741,-0.00024424,-0.00026274,-0.00028266,-0.00030354,-0.00032456,-0.00034449,-0.00036142,-0.00037267,-0.00037467,-0.00036308,-0.00033321,-0.00028115,-0.00020541,-0.00010891,-0.0,0.00010891,0.00020541,0.00028115,0.00033321,0.00036308,0.00037467,0.00037267,0.00036142,0.00034449,0.00032456,0.00030354,0.00028266,0.00026274,0.00024424,0.00022741,0.00021235,0.00019909,0.0001876,0.00017782,0.00016968,0.00016312,0.00015809,0.00015453,0.00015241,7.585e-05
17,-8.01e-05,-0.000161,-0.0001634,-0.00016745,-0.00017319,-0.00018072,-0.00019011,-0.00020151,-0.00021505,-0.00023088,-0.00024915,-0.00026997,-0.00029341,-0.00031942,-0.00034771,-0.00037764,-0.00040802,-0.00043676,-0.00046058,-0.00047462,-0.00047223,-0.00044531,-0.00038576,-0.0002884,-0.00015543,-0.0,0.00015543,0.0002884,0.00038576,0.00044531,0.00047223,0.00047462,0.00046058,0.00043676,0.00040802,0.00037764,0.00034771,0.00031942,0.00029341,0.00026997,0.00024915,0.00023088,0.00021505,0.00020151,0.00019011,0.00018072,0.00017319,0.00016745,0.0001634,0.000161,8.01e-05
18,-8.405e-05,-0.000169,-0.00017169,-0.00017622,-0.00018269,-0.00019119,-0.0002019,-0.00021498,-0.00023068,-0.00024927,-0.00027104,-0.00029633,-0.00032545,-0.00035865,-0.00039603,-0.00043737,-0.00048182,-0.00052749,-0.00057081,-0.00060563,-0.00062235,-0.00060751,-0.00054501,-0.00042078,-0.00023234,-0.0,0.00023234,0.00042078,0.00054501,0.00060751,0.00062235,0.00060563,0.00057081,0.00052749,0.00048182,0.00043737,0.00039603,0.00035865,0.00032545,0.00029633,0.00027104,0.00024927,0.00023068,0.00021498,0.0002019,0.00019119,0.00018269,0.00017622,0.00017169,0.000169,8.405e-05
19,-8.765e-05,-0.00017628,-0.00017924,-0.00018426,-0.00019143,-0.00020091,-0.00021291,-0.0002277,-0.0002456,-0.00026705,-0.00029252,-0.00032263,-0.00035802,-0.00039944,-0.00044758,-0.00050301,-0.00056577,-0.0006349,-0.0007074,-0.00077665,-0.0008301,-0.00084673,-0.00079612,-0.00064361,-0.00036899,-0.0,0.00036899,0.00064361,0.00079612,0.00084673,0.0008301,0.00077665,0.0007074,0.0006349,0.00056577,0.00050301,0.00044758,0.00039944,0.00035802,0.00032263,0.00029252,0.00026705,0.0002456,0.0002277,0.00021291,0.00020091,0.00019143,0.00018426,0.00017924,0.00017628,8.765e-05
20,-9.082e-05,-0.0001827,-0.00018593,-0.0001914,-0.00019924,-0.00020965,-0.00022289,-0.00023931,-0.00025938,-0.00028366,-0.00031288,-0.00034794,-0.00038998,-0.00044034,-0.00050065,-0.00057268,-0.00065822,-0.00075845,-0.00087284,-0.00099672,-0.0011169,-0.00120451,-0.00120639,-0.00104292,-0.00063556,-0.0,0.00063556,0.00104292,0.00120639,0.00120451,0.0011169,0.00099672,0.00087284,0.00075845,0.00065822,0.00057268,0.00050065,0.00044034,0.00038998,0.00034794,0.00031288,0.00028366,0.00025938,0.00023931,0.00022289,0.00020965,0.00019924,0.0001914,0.00018593,0.0001827,9.082e-05
21,-9.351e-05,-0.00018816,-0.00019162,-0.00019749,-0.00020593,-0.00021717,-0.00023154,-0.00024948,-0.00027154,-0.00029849,-0.00033127,-0.00037117,-0.00041982,-0.00047936,-0.00055257,-0.00064302,-0.00075515,-0.00089417,-0.00106527,-0.0012712,-0.00150604,-0.00174122,-0.00189834,-0.00181114,-0.00122297,-0.0,0.00122297,0.00181114,0.00189834,0.00174122,0.00150604,0.0012712,0.00106527,0.00089417,0.00075515,0.00064302,0.00055257,0.00047936,0.00041982,0.00037117,0.00033127,0.00029849,0.00027154,0.00024948,0.00023154,0.00021717,0.00020593,0.00019749,0.00019162,0.00018816,9.351e-05
22,-9.566e-05,-0.00019253,-0.00019619,-0.0002024,-0.00021134,-0.00022328,-0.00023861,-0.00025783,-0.00028162,-0.00031089,-0.00034684,-0.00039108,-0.0004458,-0.00051399,-0.00059977,-0.0007089,-0.00084945,-0.00103275,-0.00127425,-0.00159371,-0.00201138,-0.00253137,-0.00308789,-0.00340399,-0.00273487,-0.0,0.00273487,0.00340399,0.00308789,0.00253137,0.00201138,0.00159371,0.00127425,0.00103275,0.00084945,0.0007089,0.00059977,0.00051399,0.0004458,0.00039108,0.00034684,0.00031089,0.00028162,0.00025783,0.00023861,0.00022328,0.00021134,0.0002024,0.00019619,0.00019253,9.566e-05
23,-9.724e-05,-0.00019573,-0.00019953,-0.00020599,-0.00021531,-0.0002278,-0.00024385,-0.00026406,-0.00028918,-0.00032026,-0.0003587,-0.00040642,-0.00046609,-0.00054148,-0.00063802,-0.00076374,-0.00093078,-0.00115803,-0.00147563,-0.00193258,-0.00260826,-0.00362272,-0.00510612,-0.00692808,-0.00741699,-0.0,0.00741699,0.00692808,0.00510612,0.00362272,0.00260826,0.00193258,0.00147563,0.00115803,0.00093078,0.00076374,0.00063802,0.00054148,0.00046609,0.00040642,0.0003587,0.00032026,0.00028918,0.00026406,0.00024385,0.0002278,0.00021531,0.00020599,0.00019953,0.00019573,9.724e-05
24,-9.82e-05,-0.00019768,-0.00020157,-0.00020819,-0.00021775,-0.00023056,-0.00024708,-0.00026791,-0.00029388,-0.00032611,-0.00036615,-0.00041612,-0.00047904,-0.00055924,-0.00066313,-0.0008005,-0.0009869,-0.00124811,-0.00162946,-0.00221585,-0.00317892,-0.00489244,-0.00820483,-0.01483404,-0.02506631,-0.0,0.02506631,0.01483404,0.00820483,0.00489244,0.00317892,0.00221585,0.00162946,0.00124811,0.0009869,0.0008005,0.00066313,0.00055924,0.00047904,0.00041612,0.00036615,0.00032611,0.00029388,0.00026791,0.00024708,0.00023056,0.00021775,0.00020819,0.00020157,0.00019768,9.82e-05
