,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1,-0.0,-5.5198075166119066e-09,-6.974214832621478e-09,-8.523267231238954e-09,-1.0195601538501146e-08,-1.2017765262337132e-08,-1.4013549360388075e-08,-1.6203202375364683e-08,-1.8602521652205477e-08,-2.122182899702373e-08,-2.406485351520249e-08,-2.7127563597141558e-08,-3.0397012633974854e-08,-3.385028772525712e-08,-3.745367497085428e-08,-4.116217526472176e-08,-4.491951597691184e-08,-4.865880087956886e-08,-5.230391754339962e-08,-5.577177400219451e-08,-5.897536364941707e-08,-6.182756284909782e-08,-6.424545939635721e-08,-6.61549075044762e-08,-6.749492615038075e-08,-6.822152211148603e-08,-6.831054127253355e-08,-6.775923573100473e-08,-6.658637047881992e-08,-6.483086009523395e-08,-6.254909351059647e-08,-5.981124397369747e-08,-5.6696949762388596e-08,-5.329077900983288e-08,-4.9677862443977486e-08,-4.594000429867368e-08,-4.215248297733244e-08,-3.8381648290636327e-08,-3.4683326604969286e-08,-3.110196854947615e-08,-2.7670419212974702e-08,-2.4410155202992106e-08,-2.133180770315168e-08,-1.8435758310930564e-08,-1.5712518620004826e-08,-1.3142396561848793e-08,-1.0693363077126077e-08,-8.314281458890281e-09,-5.915089599519983e-09,-3.3063814299105093e-09,-0.0
2,-0.0,-6.974214832619784e-09,-5.753416889471428e-09,-4.659528706396545e-09,-3.7194691795657594e-09,-2.958167095908895e-09,-2.3981055187428588e-09,-2.0587560794197617e-09,-1.95590875901085e-09,-2.1009113139908468e-09,-2.4998436103676426e-09,-3.152665672143465e-09,-4.052393623546783e-09,-5.184373692471806e-09,-6.525739111058878e-09,-8.04514544583022e-09,-9.702883372930465e-09,-1.1451460724338017e-08,-1.3236724682189277e-08,-1.4999558451881225e-08,-1.667813496347443e-08,-1.8210646607048995e-08,-1.9538361677396083e-08,-2.0608795245975926e-08,-2.137873648439979e-08,-2.1816857270984475e-08,-2.190564582119992e-08,-2.1642465432530726e-08,-2.1039625955544166e-08,-2.012346111068212e-08,-1.8932510948083472e-08,-1.7514998214480416e-08,-1.5925846746402128e-08,-1.4223512621907219e-08,-1.2466885460901472e-08,-1.0712474967175143e-08,-9.012037173239179e-09,-7.410727265459889e-09,-5.945801039236934e-09,-4.6458314413133205e-09,-3.530362835320886e-09,-2.609891952361676e-09,-1.8860347774778694e-09,-1.3517006552954142e-09,-9.910265642924234e-10,-7.786873328758347e-10,-6.779370439726146e-10,-6.363616333372474e-10,-5.784740517749873e-10,-3.9946542018942926e-10,-0.0
3,-0.0,-8.523267231232178e-09,-4.659528706403321e-09,-9.598646671940482e-10,2.549755227389109e-09,5.8451616560031274e-09,8.904242840263423e-09,1.170731468156706e-08,1.4237590666518361e-08,1.6481732877988596e-08,1.8430458133397373e-08,2.0079164330733586e-08,2.142853209951374e-08,2.2485046868170192e-08,2.3261377969001698e-08,2.3776546297842125e-08,2.4055812476871628e-08,2.4130225532992267e-08,2.403578945245474e-08,2.381223227062787e-08,2.3501398742494743e-08,2.3145330314985023e-08,2.2784140242613615e-08,2.245383073657542e-08,2.2184225818215435e-08,2.1997201590838802e-08,2.1905380916565232e-08,2.1911421718917926e-08,2.2007971492139875e-08,2.2178293115210357e-08,2.2397499140937305e-08,2.2634273741189113e-08,2.285292169157448e-08,2.3015566558550003e-08,2.3084325732956705e-08,2.3023314493520472e-08,2.2800368833621534e-08,2.238842051587855e-08,2.1766501572830464e-08,2.0920394814199572e-08,1.9842979642200427e-08,1.8534348789918777e-08,1.7001793770532372e-08,1.5259778399332076e-08,1.333004257809392e-08,1.1241992008473572e-08,9.033473392121218e-09,6.751681127741926e-09,4.452569618010397e-09,2.1929229240918823e-09,-0.0
4,-0.0,-1.0195601538497758e-08,-3.7194691795657594e-09,2.5497552274026617e-09,8.586795091877525e-09,1.4367870795664573e-08,1.9870780789570976e-08,2.5075106820381153e-08,2.996252362202651e-08,3.451719096775308e-08,3.8726202051945265e-08,4.258005694492443e-08,4.607312387871652e-08,4.9204045230919445e-08,5.197604044539618e-08,5.43970561129605e-08,5.647971547563654e-08,5.824102699506645e-08,5.970182520684437e-08,6.088593699327778e-08,6.181909174780885e-08,6.25276225533415e-08,6.303703415857934e-08,6.337053804817729e-08,6.354767086071827e-08,6.358311607725011e-08,6.348583810088584e-08,6.325861272874151e-08,6.289800129127485e-08,6.239477240617148e-08,6.173473162600189e-08,6.089988161493958e-08,5.986980895094675e-08,5.862318112334142e-08,5.713923918352704e-08,5.539918587922892e-08,5.3387392511374324e-08,5.1092375998875676e-08,4.850752679093568e-08,4.56315951630822e-08,4.246896606724371e-08,3.902977007143554e-08,3.5329889378925066e-08,3.139092143245926e-08,2.724015067260058e-08,2.291052904286389e-08,1.8440520019048215e-08,1.3873294294471734e-08,9.253984471786346e-09,4.622539873250784e-09,-0.0
5,-0.0,-1.2017765262337132e-08,-2.958167095915671e-09,5.8451616560031274e-09,1.4367870795678125e-08,2.258665198829387e-08,3.047917543306795e-08,3.802416710752617e-08,4.520160072504992e-08,5.199297924390455e-08,5.838167992913614e-08,6.435333480898009e-08,6.989621536028154e-08,7.500158715525443e-08,7.966399791356146e-08,8.388146195828028e-08,8.765550646021606e-08,9.09910508990145e-08,9.389610133067171e-08,9.63812552563629e-08,9.845903036430868e-08,1.0014304964163327e-07,1.0144713410813189e-07,1.0238437003729731e-07,1.0296622732566818e-07,1.0320180741691005e-07,1.030972917365116e-07,1.0265564516129776e-07,1.018766054388092e-07,1.0075696175516121e-07,9.929109772213989e-08,9.747174976594249e-08,9.529091445011377e-08,9.274082956299036e-08,8.981495421694907e-08,8.650888176457965e-08,8.282113396241046e-08,7.875380294344045e-08,7.431302656416873e-08,6.950930029806348e-08,6.435764324176814e-08,5.887764545112434e-08,5.309342692688787e-08,4.703353165719541e-08,4.073075582470024e-08,3.422185288569205e-08,2.754694549894697e-08,2.0748282261880656e-08,1.386774682297264e-08,6.942568997949793e-09,-0.0
6,-0.0,-1.4013549360394851e-08,-2.3981055187428588e-09,8.904242840263423e-09,1.987078078959808e-08,3.047917543309506e-08,4.0707311138214004e-08,5.053328350532833e-08,5.993552000644014e-08,6.889299921102217e-08,7.73855426019869e-08,8.539415339865047e-08,9.290137606649072e-08,9.989164895956876e-08,1.0635162161657741e-07,1.1227040842918395e-07,1.1763975246638792e-07,1.2245407775453299e-07,1.2671041555389027e-07,1.304082000292122e-07,1.3354894060741383e-07,1.3613579116983961e-07,1.3817304859856713e-07,1.3966562334281375e-07,1.4061853096779958e-07,1.4103645474031982e-07,1.4092342457490588e-07,1.402826473030595e-07,1.3911650839854364e-07,1.3742674792431315e-07,1.3521479590508645e-07,1.3248223700956623e-07,1.2923136328917527e-07,1.25465768013042e-07,1.2119093366509941e-07,1.1641477239116666e-07,1.1114808634311423e-07,1.0540492683346449e-07,9.920284324424966e-08,9.25630235431912e-08,8.551033656845194e-08,7.807329050130759e-08,7.028392041226374e-08,6.217760787645865e-08,5.379281347713482e-08,4.5170663623482314e-08,3.635427476493102e-08,2.7387636741422745e-08,1.831388230821206e-08,9.173021899063768e-09,-0.0
7,-0.0,-1.620320237537146e-08,-2.0587560794197617e-09,1.170731468156706e-08,2.507510682040826e-08,3.802416710749906e-08,5.053328350532833e-08,6.258045082423343e-08,7.41429725606836e-08,8.519766825159595e-08,9.572116054689305e-08,1.0569021883198582e-07,1.1508213720347327e-07,1.238751245960924e-07,1.3204868462546836e-07,1.3958396297803714e-07,1.4646404157135813e-07,1.5267416169425108e-07,1.5820186314132248e-07,1.630370328936431e-07,1.671718647994376e-07,1.70600740227061e-07,1.7332004786626068e-07,1.7532796763681732e-07,1.7662424798973227e-07,1.7721000695580368e-07,1.770875847288255e-07,1.7626046951775987e-07,1.7473330959244006e-07,1.725120140460678e-07,1.6960393426821395e-07,1.660181089008922e-07,1.6176554838991282e-07,1.5685953185786902e-07,1.51315889187955e-07,1.4515324453035286e-07,1.3839320320817045e-07,1.3106047109704517e-07,1.2318290283825934e-07,1.1479148152014097e-07,1.059202366236918e-07,9.660610799473376e-08,8.688876027853308e-08,7.681034340533723e-08,6.641517943492179e-08,5.574933499308829e-08,4.486001776659817e-08,3.379473417845476e-08,2.260020598077628e-08,1.132123001188677e-08,-0.0
8,-0.0,-1.8602521652212253e-08,-1.9559087590244025e-09,1.4237590666545466e-08,2.996252362202651e-08,4.520160072515834e-08,5.993552000638593e-08,7.414297256057517e-08,8.78007866885475e-08,1.0088417824152991e-07,1.133670823559303e-07,1.2522254624539172e-07,1.3642316491594992e-07,1.4694154236536295e-07,1.5675076078618382e-07,1.6582484023257033e-07,1.7413917171498015e-07,1.81670908205216e-07,1.883993007802988e-07,1.9430597110990395e-07,1.993751164798595e-07,2.0359364905368684e-07,2.069512765262918e-07,2.0944053600723423e-07,2.1105679621873097e-07,2.1179824442061138e-07,2.1166587362421267e-07,2.106634827257368e-07,2.0879769756872082e-07,2.0607801539632587e-07,2.0251686943650177e-07,1.9812970545641812e-07,1.929350586361931e-07,1.8695461758246653e-07,1.802132627973024e-07,1.7273906923983336e-07,1.6456326626379785e-07,1.5572015247687816e-07,1.462469671847889e-07,1.3618372323559967e-07,1.2557300754458727e-07,1.1445975472122467e-07,1.0289099552891019e-07,9.091557522463876e-08,7.858382777934259e-08,6.59471830313015e-08,5.3057681255382636e-08,3.99673856853964e-08,2.6727736121448346e-08,1.338898787441045e-08,-0.0
9,-0.0,-2.1221828997044058e-08,-2.1009113139772943e-09,1.6481732877988596e-08,3.4517190967780186e-08,5.199297924395876e-08,6.889299921102217e-08,8.519766825154174e-08,1.0088417824152991e-07,1.1592685027856861e-07,1.302975634067901e-07,1.4396624106423946e-07,1.569013818822915e-07,1.6907062234310186e-07,1.8044131850421686e-07,1.9098113327831005e-07,2.0065861519721548e-07,2.094437546794163e-07,2.1730850477516724e-07,2.242272552936339e-07,2.301772520023988e-07,2.3513895596599665e-07,2.390963416609628e-07,2.4203713586200097e-07,2.43953001969905e-07,2.448396761421407e-07,2.446970621026393e-07,2.4352929086615856e-07,2.413447500182464e-07,2.3815608504317194e-07,2.339801729285898e-07,2.2883806641792442e-07,2.2275490616896054e-07,2.1575979798529443e-07,2.07885653239555e-07,1.9916899241846382e-07,1.896497140925794e-07,1.793708340434852e-07,1.683782012982301e-07,1.5672019890427408e-07,1.4444743701668133e-07,1.3161244396278854e-07,1.1826935735609594e-07,1.0447361240738728e-07,9.028161944240037e-08,7.57504196713236e-08,6.093731169540479e-08,4.589945701627732e-08,3.0693505980112015e-08,1.53753324554155e-08,-0.0
